Tag_21,89.90828,200,21.10.2024 07:47:42:474
Tag_22,15.829188,200,21.10.2024 07:47:42:474
Tag_21,89.963974,200,21.10.2024 07:47:43:474
Tag_22,15.963659,200,21.10.2024 07:47:43:474
Tag_21,89.847015,200,21.10.2024 07:47:44:474
Tag_22,15.929327,200,21.10.2024 07:47:44:474
Tag_21,89.79132,200,21.10.2024 07:47:45:474
Tag_22,15.825374,200,21.10.2024 07:47:45:474
Tag_21,89.53512,200,21.10.2024 07:47:46:474
Tag_22,15.80916,200,21.10.2024 07:47:46:474
Tag_21,89.65208,200,21.10.2024 07:47:47:474
Tag_22,15.814882,200,21.10.2024 07:47:47:474
Tag_21,89.37359,200,21.10.2024 07:47:48:474
Tag_22,15.914067,200,21.10.2024 07:47:48:474
Tag_21,89.35131,200,21.10.2024 07:47:49:474
Tag_22,15.92742,200,21.10.2024 07:47:49:474
Tag_21,89.61866,200,21.10.2024 07:47:50:474
Tag_22,15.779596,200,21.10.2024 07:47:50:474
Tag_21,89.574104,200,21.10.2024 07:47:51:474
Tag_22,15.807253,200,21.10.2024 07:47:51:474
Tag_21,89.780174,200,21.10.2024 07:47:52:474
Tag_22,15.880689,200,21.10.2024 07:47:52:474
Tag_21,89.5017,200,21.10.2024 07:47:53:474
Tag_22,15.9512615,200,21.10.2024 07:47:53:474
Tag_21,89.73562,200,21.10.2024 07:47:54:474
Tag_22,15.965567,200,21.10.2024 07:47:54:474
Tag_21,89.73562,200,21.10.2024 07:47:55:474
Tag_22,15.833003,200,21.10.2024 07:47:55:474
Tag_21,89.60752,200,21.10.2024 07:47:56:474
Tag_22,15.80916,200,21.10.2024 07:47:56:474
Tag_21,89.60752,200,21.10.2024 07:47:57:474
Tag_22,15.897855,200,21.10.2024 07:47:57:474
Tag_21,89.51284,200,21.10.2024 07:47:58:474
Tag_22,15.923604,200,21.10.2024 07:47:58:474
Tag_21,89.45967,200,21.10.2024 07:47:59:474
Tag_22,15.813175,200,21.10.2024 07:47:59:474
Tag_21,89.41231,200,21.10.2024 07:48:58:474
Tag_22,15.817675,200,21.10.2024 07:48:58:474
Tag_21,89.47941,200,21.10.2024 07:48:59:474
Tag_22,15.897855,200,21.10.2024 07:48:00:474
Tag_21,89.47941,200,21.10.2024 07:49:00:474
